"","BusStopCode","RoadName","Description","Latitude","Longitude"
"2230","45261","Choa Chu Kang St 52","Blk 551",1.39431509144869,103.743557038296
"2231","45269","Choa Chu Kang St 52","Blk 544",1.39436168074215,103.743731024716
"2232","45271","Choa Chu Kang St 52","Blk 560",1.39569595459867,103.745264437449
"2233","45279","Choa Chu Kang St 52","Blk 563",1.39565860027275,103.745408710673
"2234","45291","Choa Chu Kang Dr","Opp Blk 704",1.39086231015739,103.744978160844
"2235","45299","Choa Chu Kang Dr","Blk 702",1.39144722825324,103.745154698986
"2236","45301","Choa Chu Kang Nth 5","Blk 708",1.39184565454372,103.746635141721
"2237","45309","Choa Chu Kang Nth 5","Blk 754",1.3919980495631,103.74665022024
"2238","45311","Choa Chu Kang Nth 5","Blk 547",1.39312896100059,103.742089086309
"2239","45319","Choa Chu Kang Nth 5","Blk 530",1.39292754317447,103.742107699965
"2240","45321","Choa Chu Kang Dr","Yew Tee Stn",1.39740269682477,103.747554890705
"2241","45329","Choa Chu Kang Dr","Opp Yew Tee Stn",1.39743803967229,103.747865073572
"2242","45331","Choa Chu Kang St 62","Blk 621",1.39884898673915,103.747039912057
"2243","45339","Choa Chu Kang St 62","Blk 625",1.39898191366295,103.746035558891
"2244","45341","Choa Chu Kang St 62","Blk 604A",1.39735129219397,103.745419149199
"2245","45349","Choa Chu Kang St 62","Opp Blk 604A",1.39731214160283,103.74554806071
"2246","45351","Choa Chu Kang Nth 6","Blk 634",1.39635349170474,103.749479022539
"2247","45359","Choa Chu Kang Nth 6","Blk 790",1.39618571003148,103.749446083868
"2248","45361","Choa Chu Kang Nth 5","Opp Blk 765",1.39239930690933,103.750020057119
"2249","45369","Choa Chu Kang Nth 5","Blk 765",1.3925860608387,103.750025977989
"2250","45371","Choa Chu Kang Nth 6","Opp Yew Mei Green Condo",1.39533587133451,103.751937311775
"2251","45379","Choa Chu Kang Nth 6","Yew Mei Green Condo",1.39458819835509,103.751869588532
"2252","45389","Choa Chu Kang Nth 7","Blk 619",1.40063804359533,103.747381764761
"2253","45391","Choa Chu Kang Nth 7","Blk 657",1.40014292890393,103.749705428382
"2254","45399","Choa Chu Kang Nth 7","Regent Gr Condo",1.39984083299841,103.749912778032
"2255","45401","Choa Chu Kang Cres","Blk 681",1.40279972616248,103.745942668267
"2256","45411","Choa Chu Kang Cres","Opp Blk 670",1.4035145178289,103.747673479577
"2257","45421","Choa Chu Kang Cres","Opp Blk 666",1.40274884902867,103.750509251714
"2258","45439","Choa Chu Kang Cres","Opp Blk 661",1.40127194398549,103.75115527801
"2259","45441","Sg Kadut Dr","Opp Eng Hua Furniture Mfg Pte Ltd",1.43189396450238,103.747452764755
"2260","45449","Sg Kadut Dr","Eng Hua Furniture Mfg Pte Ltd",1.43188298917832,103.747608387382
"2261","45451","Choa Chu Kang Ave 1","Blk 293",1.3779238888638,103.739708055523
"2262","45461","Choa Chu Kang Nth 5","Blk 540",1.39267723795995,103.743306000015
"2263","45469","Choa Chu Kang Nth 5","Blk 532",1.39231423792189,103.744493999986
