"COUNTY","T_PRES","T_ITEM","PERIOD","POP","D_PRES","D_ITEM"
"EAST SUSSEX",256278,10800,201511,829300,309,13
"ESSEX",451650,18536,201511,1787000,253,10
"GLOUCESTERSHIRE",125519,5542,201511,891800,141,6
"GREATER MANCHESTER",204832,8403,201511,2756200,74,3
"HAMPSHIRE",507706,18300,201511,1814300,280,10
"HEREFORDSHIRE",41154,1591,201511,188100,219,8
"HERTFORDSHIRE",206324,8310,201511,1166300,177,7
"ISLE OF WIGHT",37017,1373,201511,139400,266,10
"KENT",474720,18207,201511,1801200,264,10
"LANCASHIRE",690634,27965,201511,1478100,467,19
"LEICESTERSHIRE",163789,6446,201511,1017900,161,6
"LINCOLNSHIRE",267468,12254,201511,1066100,251,11
"LONDON",901760,37533,201511,8665000,104,4
"MERSEYSIDE",311735,13167,201511,1398000,223,9
"NORFOLK",264649,11546,201511,885000,299,13
"NORTH YORKSHIRE",258192,10744,201511,1140400,226,9
